Feature,F_Score,P_Value
Total_Fouls,2574.0031395929013,0.0
Home_Team_Strength,2289.736815995156,0.0
Away_Team_Strength,2256.4762531101574,0.0
Total_Yellow_Cards,2081.837888046101,0.0
Home_Fouls,1881.0544467293528,0.0
Total_Shots_On_Target,1579.015174037261,0.0
Away_Fouls,1451.9132805897239,0.0
Away_Yellow_Cards,1388.428732341181,0.0
Home_Yellow_Cards,1346.219767515302,0.0
Is_Weekend,1283.576667576805,0.0
Total_Shots,1039.8027877272048,0.0
Home_Shots_On_Target,951.605618155605,0.0
Match_Weekday,920.7199299614451,0.0
Away_Shots_On_Target,738.928970309539,0.0
Total_Corners,583.9202227501233,0.0
Home_Shots,521.6586032220017,0.0
Home_Dominance_Yellow_Cards,368.22508921488435,0.0
Away_Shots,343.97166219317836,0.0
Home_Corners,289.0761452110489,0.0
Away_Corners,196.8931947984567,0.0
Home_Dominance_Shots_On_Target,149.21778763457385,4.197867574497789e-281
Total_Red_Cards,144.35230525965932,8.447951449760132e-272
Match_Time_Category_Evening,120.20362634502038,1.4148305179086135e-225
Total_Goals,101.48305967700755,1.070213621763392e-189
Home_Dominance_Fouls,96.58956954094229,2.586554321417885e-180
Away_Red_Cards,90.49566315680708,1.2575835765572558e-168
Match_Year,76.5216653835796,7.970184899164455e-142
Home_Red_Cards,73.46426263990509,5.821332556824353e-136
Season_Start_Year,73.03469609490769,3.8798308376307365e-135
Goal_Difference,72.87274363483513,7.932131849691393e-135
Home_Dominance_Red_Cards,66.9844108277374,1.5488545313532807e-123
FullTime_Away_Goals,53.63168346860057,5.944727192354946e-98
FullTime_Home_Goals,51.789736539941785,1.9950184978470822e-94
Match_Time_Category_Morning,49.064368449416875,3.270466178642924e-89
Home_Dominance_Shots,32.7350969969443,4.691142719124627e-58
HalfTime_Home_Goals,28.124844767907277,2.6425785291732063e-49
Match_Month,24.578556039851836,1.3474023044197614e-42
Draw,22.108394324993156,6.098861585965395e-38
HalfTime_Away_Goals,18.44664741565226,4.503647837539494e-31
Away_Win,13.361768213280275,1.2331084772645088e-21
Home_Dominance_Corners,11.243273134549977,9.296541624132803e-18
Score_Changed_After_HT,5.732849158179613,5.4240601108285576e-08
Home_Win,4.768155107995167,2.2451303010570045e-06
Match_Time_Category_Unknown,3.0711085216932017,0.0010968195314178008
Team_Strength_Difference,0.3627095805081201,0.952880661958688
