Training Size,Train Mean,Train Std,Test Mean,Test Std
6356,1.0,0.0,0.9083539093986825,0.001210238671609159
12713,1.0,0.0,0.9345648283224433,0.0004562428342659244
19070,1.0,0.0,0.9457293337633622,0.0017664915829187725
25426,1.0,0.0,0.9526755012641617,0.0013726805860304388
31783,1.0,0.0,0.9564359736474778,0.000849750231500638
38140,1.0,0.0,0.9584789177845565,0.0006857103776933669
44496,1.0,0.0,0.9599833654911627,0.0008700792340524408
50853,1.0,0.0,0.9619632506900692,0.000780836671016023
57210,1.0,0.0,0.9633342347110405,0.0009856393430655054
63567,1.0,0.0,0.9636430925875071,0.0006221718305686732
