Composante,Variance expliquée (%)
PC1,12.143909926063477
PC2,10.067240632889522
PC3,8.129804169068052
PC4,7.26257876360426
PC5,6.25647600805008
PC6,5.773471859087171
PC7,4.874965428612608
PC8,4.351760613029092
PC9,4.1688560933531535
PC10,3.6634699694474437
PC11,3.601629263973758
PC12,3.3339019609868266
PC13,3.0698656615875763
PC14,2.776980893541256
PC15,2.696181713052993
PC16,2.646014072538725
PC17,2.5388598377751803
PC18,2.4410488945508355
PC19,2.349345129016978
PC20,1.8639890481162196
PC21,1.2403610712201738
PC22,1.1781234199259052
PC23,0.9913603717468713
PC24,0.6264267487512971
PC25,0.3756258738632599
PC26,0.3711902877528392
PC27,0.28345749112877017
PC28,0.21677795996695495
PC29,0.21061824898621898
PC30,0.162835941950935
PC31,0.11886639626488148
PC32,0.0859344527159185
PC33,0.064821987068942
PC34,0.058706404450621856
PC35,0.003960635857355741
PC36,0.0005827700038319036
PC37,6.621580625152843e-15
PC38,2.4078384421359036e-15
PC39,1.6428330328016578e-15
PC40,8.559249487572467e-16
PC41,8.14743603883008e-17
PC42,0.0
PC43,0.0
PC44,0.0
PC45,0.0
