Feature,Importance
Total_Shots,0.12623338
Total_Fouls,0.12035871
Total_Shots_On_Target,0.11602233
Total_Yellow_Cards,0.08261329
Home_Fouls,0.070170686
Home_Team_Strength,0.060621426
Away_Team_Strength,0.057004754
Match_Weekday,0.05458135
Home_Shots_On_Target,0.05030247
Away_Fouls,0.038285032
Home_Yellow_Cards,0.037736297
Away_Yellow_Cards,0.036595363
Home_Shots,0.030480798
Total_Corners,0.030458797
Away_Shots_On_Target,0.019018553
Home_Dominance_Yellow_Cards,0.018098313
Is_Weekend,0.015211753
Away_Shots,0.014637492
Home_Corners,0.013227683
Away_Corners,0.00834141
